"Person ID";Nativeness;Frames;"String Type";Manner;Path;"Value Type";"Value"
1;Late;2777_2871;Conflated (Manner+Path);limping;circle;"Average Body Change Right";399
1;Late;2777_2871;Conflated (Manner+Path);limping;circle;"Total Angle Change Left";975
1;Late;2777_2871;Conflated (Manner+Path);limping;circle;"Total Angle Change Right";3077
1;Late;2777_2871;Conflated (Manner+Path);limping;circle;"Average Angle Change Left";31
1;Late;2777_2871;Conflated (Manner+Path);limping;circle;"Average Angle Change Right";99
1;Late;3173_3233;Conflated (Manner+Path);limping;down-hill;"Total Body Change Left";4242
1;Late;3173_3233;Conflated (Manner+Path);limping;down-hill;"Total Body Change Right";17369
1;Late;3173_3233;Conflated (Manner+Path);limping;down-hill;"Average Body Change Left";235
1;Late;3173_3233;Conflated (Manner+Path);limping;down-hill;"Average Body Change Right";964
1;Late;3173_3233;Conflated (Manner+Path);limping;down-hill;"Total Angle Change Left";1934
1;Late;3173_3233;Conflated (Manner+Path);limping;down-hill;"Total Angle Change Right";3069
1;Late;3173_3233;Conflated (Manner+Path);limping;down-hill;"Average Angle Change Left";107
1;Late;3173_3233;Conflated (Manner+Path);limping;down-hill;"Average Angle Change Right";170
1;Late;3356_3413;Conflated (Manner+Path);limping;up-hill;"Total Body Change Left";4828
1;Late;3356_3413;Conflated (Manner+Path);limping;up-hill;"Total Body Change Right";8045
1;Late;3356_3413;Conflated (Manner+Path);limping;up-hill;"Average Body Change Left";268
1;Late;3356_3413;Conflated (Manner+Path);limping;up-hill;"Average Body Change Right";446
1;Late;3356_3413;Conflated (Manner+Path);limping;up-hill;"Total Angle Change Left";1227
1;Late;3356_3413;Conflated (Manner+Path);limping;up-hill;"Total Angle Change Right";2182
1;Late;3356_3413;Conflated (Manner+Path);limping;up-hill;"Average Angle Change Left";68
1;Late;3356_3413;Conflated (Manner+Path);limping;up-hill;"Average Angle Change Right";121
1;Late;4387_4464;Mixed_2 (...-Manner+Path);running;curved;"Total Body Change Left";5686
